Provider,MedianAge,MeanInscClaimAmtReimbursed,MaxInscClaimAmtReimbursed,TotalInscClaimAmtReimbursed,MeanDeductibleAmtPaid,MaxDeductibleAmtPaid,MeanNumMonth_PartACov,MeanNumMonth_PartBCov,MeanOPAnnualReimbursementAmt,MaxOPAnnualReimbursementAmt,TotalOPAnnualReimbursementAmt,MeanOPAnnualDeductibleAmt,MaxOPAnnualDeductibleAmt,TotalOPAnnualDeductibleAmt,MeanIPAnnualReimbursementAmt,MaxIPAnnualReimbursementAmt,TotalIPAnnualReimbursementAmt,MeanIPAnnualDeductibleAmt,MaxIPAnnualDeductibleAmt,TotalIPAnnualDeductibleAmt,MeanClaimPeriods,MaxHospitalDays,MedianHospitalDays,MeanHospitalDays,MaxDiagCodeNumPerClaim,MeanDiagCodeNumPerClaim,MaxProcCodeNumPerClaim,MeanProcCodeNumPerClaim,TotalDiagCodeNum,TotalProcCodeNum,MeanHighFreqDiagCodeNumPerClaim,MeanMediumHighFreqDiagCodeNumPerClaim,MeanMediumFreqDiagCodeNumPerClaim,MeanLowFreqDiagCodeNumPerClaim,MeanRareFreqDiagCodeNumPerClaim,TotalHighFreqProcCodeNumPerClaim,TotalMediumHighFreqProcCodeNumPerClaim,TotalMediumFreqProcCodeNumPerClaim,TotalLowFreqProcCodeNumPerClaim,TotalRareFreqProcCodeNumPerClaim,totalDiagCode_4019,totalDiagCode_25000,totalDiagCode_2724,totalDiagCode_V5869,totalDiagCode_4011,totalDiagCode_42731,totalDiagCode_V5861,totalDiagCode_2720,totalDiagCode_2449,totalDiagCode_4280,totalDiagCode_53081,totalDiagCode_41401,totalDiagCode_496,totalDiagCode_2589,totalDiagCode_41400,totalDiagCode_Other,totalProcCode_4019,totalProcCode_9904,totalProcCode_2724,totalProcCode_8154,totalProcCode_66,totalProcCode_3893,totalProcCode_3995,totalProcCode_4516,totalProcCode_3722,totalProcCode_8151,totalProcCode_8872,totalProcCode_9671,totalProcCode_4513,totalProcCode_5849,totalProcCode_9390,totalProcCode_Other,ChronicCond_Alzheimer_Frac,ChronicCond_Heartfailure_Frac,ChronicCond_KidneyDisease_Frac,ChronicCond_Cancer_Frac,ChronicCond_ObstrPulmonary_Frac,ChronicCond_Depression_Frac,ChronicCond_Diabetes_Frac,ChronicCond_IschemicHeart_Frac,ChronicCond_Osteoporasis_Frac,ChronicCond_rheumatoidarthritis_Frac,ChronicCond_stroke_Frac,RenalDiseaseIndicator_Frac,Deceased_Frac,Gender_Frac,Race_Frac,In_Out_Frac,ClaimNumbers,UniqBeneCount,ClaimCountsperPatient,UniqATPhysCount,ClmsperATPhysn,UniqOPPhysCount,ClmsperOPPhysn,UniqOTPhysCount,ClmsperOTPhysn,UniqStateCount,UniqCountyCount,MajorState,MajorCounty,MajorRace
PRV53960,75.0,303.23809523809524,3300,127360,2.4523809523809526,200.0,12.0,12.0,3279.214285714286,43330,1377270,902.1666666666666,9180,378910,4673.619047619048,68000,1962920,409.4,3204,171948,2.7976190476190474,0.0,0.0,0.0,10,2.657142857142857,0,0.0,1116,0,0.569047619047619,0.20714285714285716,0.8166666666666667,0.20238095238095238,0.861904761904762,0,0,0,0,0,51,17,22,16,21,9,10,10,12,11,9,15,8,9,4,3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,0.4714285714285714,0.5880952380952381,0.48095238095238096,0.08571428571428572,0.24285714285714285,0.4261904761904762,0.719047619047619,0.7738095238095238,0.35714285714285715,0.31666666666666665,0.04047619047619048,0.0,0.016666666666666666,0.44761904761904764,0.8452380952380952,0.0,420,115,3.652173913043478,21,20.0,17,24.705882352941178,16,26.25,2,9,23,730,1
PRV52517,78.5,340.9375,3000,10910,3.75,70.0,11.625,12.0,2082.5,6110,66640,537.5,1530,17200,4312.5,57000,138000,1108.625,15068,35476,1.0,0.0,0.0,0.0,9,3.03125,0,0.0,97,0,0.78125,0.15625,0.875,0.21875,1.0,0,0,0,0,0,3,1,2,2,4,1,1,2,2,0,1,0,0,2,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0.53125,0.84375,0.375,0.1875,0.28125,0.34375,0.59375,0.78125,0.21875,0.625,0.0625,0.0,0.0,0.53125,0.96875,0.0,32,26,1.2307692307692308,14,2.2857142857142856,2,16.0,7,4.571428571428571,2,10,13,20,1
PRV55652,72.0,219.28571428571428,3200,6140,1.7857142857142858,50.0,12.0,12.0,1757.5,9840,49210,500.35714285714283,3110,14010,4467.142857142857,26120,125080,419.57142857142856,3204,11748,2.5357142857142856,0.0,0.0,0.0,9,2.7857142857142856,0,0.0,78,0,0.7857142857142857,0.21428571428571427,0.8928571428571429,0.32142857142857145,0.5714285714285714,0,0,0,0,0,3,3,4,0,2,2,1,1,0,1,2,0,1,1,1,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0.4642857142857143,0.5,0.17857142857142858,0.10714285714285714,0.2857142857142857,0.5357142857142857,0.7142857142857143,0.7857142857142857,0.39285714285714285,0.32142857142857145,0.07142857142857142,0.0,0.0,0.5,0.9285714285714286,0.0,28,27,1.037037037037037,6,4.666666666666667,3,9.333333333333334,5,5.6,1,12,36,550,1
PRV57328,72.0,141.05263157894737,1600,5360,4.473684210526316,70.0,12.0,12.0,1498.157894736842,7400,56930,465.7894736842105,1550,17700,3192.6315789473683,37200,121320,393.4736842105263,4272,14952,1.0263157894736843,0.0,0.0,0.0,7,1.7105263157894737,0,0.0,65,0,0.2631578947368421,0.07894736842105263,0.47368421052631576,0.15789473684210525,0.7368421052631579,0,0,0,0,0,2,1,1,1,0,0,0,2,2,0,0,0,0,1,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0.3157894736842105,0.39473684210526316,0.34210526315789475,0.10526315789473684,0.23684210526315788,0.39473684210526316,0.5,0.631578947368421,0.34210526315789475,0.2631578947368421,0.07894736842105263,0.0,0.05263157894736842,0.47368421052631576,0.9210526315789473,0.0,38,38,1.0,29,1.3103448275862069,4,9.5,16,2.375,5,14,50,80,1
PRV56721,74.0,297.6237623762376,3300,60120,4.0594059405940595,100.0,11.915841584158416,11.881188118811881,2032.6732673267327,24260,410600,599.9009900990098,6300,121180,6638.069306930693,101080,1340890,551.7821782178218,10068,111460,2.0445544554455446,0.0,0.0,0.0,9,2.712871287128713,0,0.0,548,0,0.6039603960396039,0.16831683168316833,0.8564356435643564,0.18316831683168316,0.900990099009901,0,0,0,0,0,30,5,13,14,10,7,8,1,7,4,5,4,7,1,2,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,0.3811881188118812,0.5742574257425742,0.4306930693069307,0.15841584158415842,0.3564356435643564,0.48514851485148514,0.6435643564356436,0.7227722772277227,0.3217821782178218,0.23267326732673269,0.08415841584158416,0.0,0.0,0.41089108910891087,0.801980198019802,0.0,202,182,1.10989010989011,7,28.857142857142858,6,33.666666666666664,6,33.666666666666664,1,10,45,610,1
PRV56412,73.0,994.2857142857143,21000,111360,88.05357142857143,1068.0,12.0,12.0,2624.8214285714284,17610,293980,829.5535714285714,6100,92910,5891.160714285715,71120,659810,851.3571428571429,5136,95352,2.5357142857142856,11.0,0.0,0.5446428571428571,10,3.205357142857143,1,0.05357142857142857,359,6,0.6964285714285714,0.25,1.0446428571428572,0.16964285714285715,1.0446428571428572,0,3,2,0,1,14,13,11,6,6,5,0,6,3,0,1,2,4,2,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0.3482142857142857,0.5803571428571429,0.49107142857142855,0.1875,0.38392857142857145,0.4107142857142857,0.7857142857142857,0.7142857142857143,0.24107142857142858,0.4017857142857143,0.07142857142857142,0.0,0.017857142857142856,0.5089285714285714,0.875,0.08035714285714286,112,77,1.4545454545454546,11,10.181818181818182,5,22.4,9,12.444444444444445,1,11,44,150,1
PRV56378,77.0,144.51612903225808,600,4480,0.0,0.0,12.0,12.0,1145.483870967742,4320,35510,541.9354838709677,2280,16800,0.0,0,0,0.0,0,0,2.2580645161290325,0.0,0.0,0.0,9,2.7419354838709675,0,0.0,85,0,0.5483870967741935,0.16129032258064516,0.7741935483870968,0.1935483870967742,1.064516129032258,0,0,0,0,0,4,2,2,2,2,1,1,0,1,1,0,0,0,1,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0.41935483870967744,0.5161290322580645,0.2903225806451613,0.03225806451612903,0.1935483870967742,0.41935483870967744,0.7419354838709677,0.45161290322580644,0.5161290322580645,0.12903225806451613,0.06451612903225806,0.0,0.0,0.5161290322580645,0.967741935483871,0.0,31,19,1.631578947368421,1,31.0,1,31.0,1,31.0,1,3,43,510,1
PRV51036,74.0,269.3525179856115,4400,74880,5.071942446043166,100.0,11.863309352517986,11.43525179856115,2070.5755395683454,8330,575620,512.0863309352518,2580,142360,5654.3165467625895,143800,1571900,585.0935251798561,13136,162656,2.050359712230216,0.0,0.0,0.0,10,2.615107913669065,0,0.0,727,0,0.5863309352517986,0.1223021582733813,0.7302158273381295,0.2517985611510791,0.9244604316546763,0,0,0,0,0,25,20,19,16,11,11,9,12,7,3,5,3,5,7,2,2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668,0.35611510791366907,0.5719424460431655,0.3920863309352518,0.11151079136690648,0.34172661870503596,0.4748201438848921,0.7230215827338129,0.7230215827338129,0.34172661870503596,0.2949640287769784,0.0683453237410072,0.0,0.0,0.41007194244604317,0.8057553956834532,0.0,278,131,2.122137404580153,5,55.6,3,92.66666666666667,4,69.5,1,7,1,510,1
PRV55205,75.0,2454.076923076923,102000,638060,152.0466926070039,1068.0,11.907692307692308,12.0,2874.0,85960,747240,678.8538461538461,7960,176502,6351.576923076923,123000,1651410,635.6461538461539,4272,165268,2.6576923076923076,36.0,0.0,1.0576923076923077,10,3.326923076923077,4,0.11923076923076924,865,31,0.7230769230769231,0.2230769230769231,1.0923076923076922,0.2653846153846154,1.023076923076923,7,8,10,5,1,51,15,16,7,10,11,14,8,5,4,6,9,6,2,8,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0.43846153846153846,0.5769230769230769,0.4269230769230769,0.19615384615384615,0.3192307692307692,0.46923076923076923,0.6807692307692308,0.7653846153846153,0.33076923076923076,0.31153846153846154,0.10384615384615385,0.0,0.0,0.3769230769230769,0.7846153846153846,0.14615384615384616,260,240,1.0833333333333333,138,1.8840579710144927,41,6.341463414634147,71,3.6619718309859155,9,58,34,400,1
PRV52979,74.0,11333.333333333334,21000,68000,1068.0,1068.0,12.0,12.0,3541.6666666666665,16790,21250,1443.3333333333333,5210,8660,11430.0,21060,68580,2068.0,7068,12408,4.833333333333333,9.0,4.5,4.833333333333333,9,7.833333333333333,1,0.6666666666666666,47,4,1.5,0.5,2.5,0.8333333333333334,2.5,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,2,0,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.5,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,1.0,1.0,6,6,1.0,2,3.0,2,3.0,1,6.0,1,3,15,780,1
PRV52114,74.0,1117.5886524822695,57000,1418220,89.64798737174428,1068.0,12.0,11.973995271867611,2110.7328605200946,28700,2678520,648.4948778565799,7110,822940,4989.542947202522,127560,6331730,499.7667454688731,10476,634204,2.9156816390858946,28.0,0.0,0.5429472025216706,10,3.045705279747833,3,0.06067769897557131,3865,77,0.698187549251379,0.20803782505910165,0.9613869188337274,0.20882584712371946,0.9692671394799054,25,16,22,4,10,186,81,85,63,49,53,43,35,43,33,41,29,32,40,22,11855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7614,0.42868400315208827,0.6154452324665091,0.40189125295508277,0.14972419227738376,0.27501970055161545,0.43656422379826637,0.69424743892829,0.7943262411347518,0.33569739952718675,0.32781717888100864,0.08747044917257683,0.0,0.004728132387706856,0.4570527974783294,0.8660362490149724,0.08274231678486997,1269,633,2.004739336492891,12,105.75,12,105.75,9,141.0,9,38,10,520,1
PRV52487,74.0,288.3050847457627,3300,51030,6.327683615819209,200.0,11.983050847457626,11.932203389830509,1898.0790960451977,13210,335960,617.7401129943503,3930,109340,4460.6214689265535,65240,789530,452.54237288135596,6408,80100,2.231638418079096,0.0,0.0,0.0,9,2.4237288135593222,0,0.0,429,0,0.6101694915254238,0.1638418079096045,0.615819209039548,0.1864406779661017,0.847457627118644,0,0,0,0,0,20,13,6,9,6,7,2,8,8,3,6,3,7,1,3,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,0.384180790960452,0.4632768361581921,0.384180790960452,0.10734463276836158,0.2768361581920904,0.3672316384180791,0.6497175141242938,0.7175141242937854,0.2994350282485876,0.3220338983050847,0.07909604519774012,0.0,0.0,0.4067796610169492,0.2937853107344633,0.0,177,127,1.3937007874015748,5,35.4,4,44.25,5,35.4,1,1,12,20,3
PRV51966,83.0,816.6666666666666,2300,2450,0.0,0.0,12.0,12.0,2243.3333333333335,5930,6730,876.6666666666666,1620,2630,8000.0,12000,24000,1068.0,2136,3204,1.0,0.0,0.0,0.0,4,3.0,0,0.0,9,0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,3,1.0,2,1.5,0,0.0,1,3.0,1,1,7,40,1
PRV55792,66.0,7000.0,7000,7000,1068.0,1068.0,12.0,12.0,0.0,0,0,0.0,0,0,7000.0,7000,7000,1068.0,1068,1068,6.0,6.0,6.0,6.0,7,7.0,1,1.0,7,1,1.0,0.0,4.0,1.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1,1.0,1,1.0,0,0.0,1,1,37,540,1
PRV54496,76.5,295.0,700,2360,12.5,100.0,12.0,12.0,3271.25,17570,26170,361.25,1250,2890,7962.5,32100,63700,667.5,2136,5340,4.0,0.0,0.0,0.0,4,1.875,0,0.0,15,0,0.5,0.25,0.5,0.0,0.625,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.625,0.75,0.5,0.125,0.75,0.5,0.75,0.75,0.75,0.375,0.25,0.0,0.0,0.375,1.0,0.0,8,7,1.1428571428571428,1,8.0,1,8.0,1,8.0,1,1,26,950,1
PRV53844,79.0,149.24528301886792,1000,7910,0.5660377358490566,20.0,12.0,11.924528301886792,1830.754716981132,13380,97030,546.9811320754717,2000,28990,1463.3962264150944,21000,77560,190.79245283018867,2636,10112,1.6037735849056605,0.0,0.0,0.0,9,2.660377358490566,0,0.0,141,0,0.41509433962264153,0.18867924528301888,0.8679245283018868,0.20754716981132076,0.9811320754716981,0,0,0,0,0,3,0,2,1,3,2,0,2,1,0,1,1,2,1,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0.5471698113207547,0.5660377358490566,0.4716981132075472,0.18867924528301888,0.24528301886792453,0.3584905660377358,0.7358490566037735,0.660377358490566,0.3018867924528302,0.24528301886792453,0.09433962264150944,0.0,0.0,0.18867924528301888,0.9245283018867925,0.0,53,40,1.325,1,53.0,1,53.0,1,53.0,1,1,22,150,1
