Provider,DeductibleAmtPaid_mean,DeductibleAmtPaid_max,NoOfMonths_PartACov_mean,NoOfMonths_PartBCov_mean,OPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_max,OPAnnualReimbursementAmt_sum,OPAnnualDeductibleAmt_mean,OPAnnualDeductibleAmt_max,OPAnnualDeductibleAmt_sum,ClaimCounts,Gender,ClaimPeriod,RaceOneFrac,MajorRace,RenalDiseaseIndicator,Age,uniqBeneCount,ClmsperBene,TotalInscClaimAmtReimbursed,MeanInscClaimAmtReimbursed,MaxInscClaimAmtReimbursed,uniqATPhysnCount,ClmsperATPhysn,uniqOPPhysnCount,ClmsperOPPhysn,uniqOTPhysnCount,ClmsperOTPhysn,InClmsPct,StateCount_Uniq,MajorState,CountyCount_Uniq,MajorCounty,TotalIPAnnualReimbursementAmt,MeanIPAnnualReimbursementAmt,MaxIPAnnualReimbursementAmt,TotalIPAnnualDeductibleAmtdf,MeanIPAnnualDeductibleAmt,MaxIPAnnualDeductibleAmt,MaxHospitalDays,MedianHospitalDays,MeanHospitalDays,Chronic_Alzheimer_Frac,Chronic_Heartfailure_Frac,Chronic_KidneyDisease_Frac,Chronic_Cancer_Frac,Chronic_ObstrPulmonary_Frac,Chronic_Depression_Frac,Chronic_Diabetes_Frac,Chronic_IschemicHeart_Frac,Chronic_Osteoporasis_Frac,Chronic_rheumatoidarthritis_Frac,Chronic_stroke_Frac,Deceased_Frac,MaxDiagCodeNumPerClaim,MeanDiagCodeNumPerClaim,MaxProcCodeNumPerClaim,MeanProcCodeNumPerClaim,TotalDiagCodeNum,TotalProcCodeNum,MeanHighFreqDiagCodeNumPerClaim,MeanMediumHighFreqDiagCodeNumPerClaim,MeanMediumFreqDiagCodeNumPerClaim,MeanLowFreqDiagCodeNumPerClaim,MeanRareFreqDiagCodeNumPerClaim,TotalHighFreqProcCodeNumPerClaim,TotalMediumHighFreqProcCodeNumPerClaim,TotalMediumFreqProcCodeNumPerClaim,TotalLowFreqProcCodeNumPerClaim,TotalRareFreqProcCodeNumPerClaim,totalDiagCode_4019,totalDiagCode_25000,totalDiagCode_2724,totalDiagCode_V5869,totalDiagCode_4011,totalDiagCode_42731,totalDiagCode_V5861,totalDiagCode_2720,totalDiagCode_2449,totalDiagCode_4280,totalDiagCode_53081,totalDiagCode_41401,totalDiagCode_496,totalDiagCode_2589,totalDiagCode_41400,totalDiagCode_Other,totalProcCode_4019,totalProcCode_9904,totalProcCode_2724,totalProcCode_8154,totalProcCode_66,totalProcCode_3893,totalProcCode_3995,totalProcCode_4516,totalProcCode_3722,totalProcCode_8151,totalProcCode_8872,totalProcCode_9671,totalProcCode_4513,totalProcCode_5849,totalProcCode_9390,totalProcCode_Other,TotalTeDiagCode,TotalTeProcCode
PRV51001,213.6,1068.0,12.0,12.0,2615.2,13460,65380,463.92,2700,11598,25,0.36,2.44,0.84,1,0.32,79.0,24,1.0416666666666667,104640,4185.6,42000,14,1.7857142857142858,5,5.0,8,3.125,0.2,1,1,7,660,440150,17606.0,143800,22428,897.12,4272,15.0,0.0,1.2,0.6,0.76,0.68,0.2,0.4,0.36,0.84,0.92,0.24,0.32,0.24,0.0,9,3.2,2,0.12,80,3,0.56,0.04,1.04,0.2,1.36,1,0,2,0,0,3,1,2,1,0,2,0,2,1,0,2,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1.1661580406755734,1.1865182369085983
PRV51004,2.0805369127516777,100.0,11.865771812080537,11.95973154362416,2194.8993288590605,20900,327040,622.751677852349,7410,92790,149,0.309,2.43,0.805,1,0.154,72.0,138,1.079710144927536,52170,350.13422818791946,3300,38,3.9210526315789473,19,7.842105263157895,26,5.730769230769231,0.0,9,52,28,770,648430,4351.879194630873,51500,64808,434.9530201342282,7136,0.0,0.0,0.0,0.4295302013422818,0.5906040268456376,0.3355704697986577,0.1073825503355704,0.2751677852348993,0.4228187919463087,0.7046979865771812,0.7248322147651006,0.3288590604026846,0.3087248322147651,0.1140939597315436,0.0067114093959731,9,2.5838926174496644,0,0.0,385,0,0.5838926174496645,0.12751677852348994,0.785234899328859,0.14093959731543623,0.9463087248322147,0,0,0,0,0,22,8,12,2,6,3,4,6,8,1,4,5,2,4,1,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,1.1444949514391063,1.1610674682071278
PRV51005,3.175965665236052,200.0,11.907296137339056,11.939914163090128,2109.733905579399,97510,2457840,636.3287553648069,6330,741323,1165,0.439,2.088,0.767,1,0.222,70.0,495,2.3535353535353534,280910,241.1244635193133,4080,6,194.16666666666663,6,194.16666666666663,4,291.25,0.0,4,25,26,660,4221950,3623.991416309013,144000,441724,379.1622317596567,7136,0.0,0.0,0.0,0.3656652360515021,0.5836909871244635,0.4351931330472103,0.1416309012875536,0.2532188841201717,0.4163090128755364,0.6858369098712447,0.7682403433476395,0.2952789699570815,0.2841201716738197,0.1064377682403433,0.0034334763948497,10,2.5888412017167384,0,0.0,3016,0,0.5296137339055794,0.13733905579399142,0.7776824034334764,0.15622317596566523,0.9879828326180258,0,0,0,0,0,140,54,74,56,62,23,47,31,30,18,24,23,14,21,27,11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5825,1.1740650115645435,1.1610674682071278
PRV51008,53.86046511627907,1068.0,12.0,12.0,2570.4651162790697,20500,110530,616.046511627907,4140,26490,43,0.442,2.535,0.791,1,0.233,75.0,36,1.1944444444444444,35630,828.6046511627907,21000,10,4.3,5,8.6,5,8.6,0.0465116279069767,2,11,9,910,283460,6592.093023255814,90000,26700,620.9302325581396,4272,6.0,0.0,0.2325581395348837,0.3953488372093023,0.5813953488372093,0.3255813953488372,0.2093023255813953,0.2093023255813953,0.2790697674418604,0.6976744186046512,0.7674418604651163,0.2558139534883721,0.1395348837209302,0.0465116279069767,0.0,10,3.1627906976744184,1,0.046511627906976744,136,2,0.813953488372093,0.23255813953488372,0.9534883720930233,0.16279069767441862,1.0,0,0,2,0,0,9,4,7,0,2,2,2,2,3,1,0,0,2,1,2,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,1.144523904196107,1.1633938056401412
PRV51011,23.58620689655172,1068.0,12.0,12.0,1399.3103448275865,6340,81160,366.7241379310345,1070,21270,58,0.466,1.552,0.879,1,0.207,74.0,53,1.0943396226415094,16630,286.7241379310345,5000,28,2.071428571428572,10,5.8,15,3.866666666666666,0.0172413793103448,1,1,9,580,256060,4414.827586206897,32000,39108,674.2758620689655,8136,6.0,0.0,0.1034482758620689,0.4310344827586206,0.6379310344827587,0.4310344827586206,0.0689655172413793,0.3620689655172414,0.5344827586206896,0.7068965517241379,0.7586206896551724,0.3448275862068966,0.2758620689655172,0.0344827586206896,0.0172413793103448,9,2.5344827586206895,0,0.0,147,0,0.5517241379310345,0.1206896551724138,0.7241379310344828,0.1724137931034483,0.9655172413793104,0,0,0,0,0,10,2,5,0,2,0,1,2,5,1,1,1,1,1,1,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,1.1414585900880216,1.1610674682071278
PRV51012,2.083333333333333,100.0,12.0,11.5,3793.9583333333335,33850,182110,735.2083333333334,5290,35290,48,0.229,4.708,0.854,1,0.146,69.5,31,1.5483870967741935,16890,351.875,3300,14,3.4285714285714284,3,16.0,13,3.692307692307693,0.0,3,23,6,810,332900,6935.416666666667,30700,40316,839.9166666666666,3204,0.0,0.0,0.0,0.375,0.5416666666666666,0.4583333333333333,0.125,0.4375,0.3958333333333333,0.7291666666666666,0.7916666666666666,0.3541666666666667,0.3541666666666667,0.0625,0.0,8,2.5625,0,0.0,123,0,0.3333333333333333,0.3333333333333333,0.6875,0.20833333333333334,1.0,0,0,0,0,0,5,0,2,1,2,1,1,0,2,0,0,0,1,1,2,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,1.1263987277288168,1.1610674682071278
PRV51013,5.0,90.0,12.0,12.0,3226.521739130435,31880,148420,914.782608695652,9950,42080,46,0.261,2.457,0.935,1,0.239,74.0,44,1.0454545454545454,14880,323.4782608695652,1800,9,5.111111111111111,5,9.2,4,11.5,0.0,2,10,8,480,167240,3635.652173913044,36200,27292,593.304347826087,10204,0.0,0.0,0.0,0.3695652173913043,0.5652173913043478,0.4130434782608695,0.0869565217391304,0.3478260869565217,0.391304347826087,0.8043478260869565,0.782608695652174,0.2608695652173913,0.3478260869565217,0.0434782608695652,0.0,8,2.5434782608695654,0,0.0,117,0,0.43478260869565216,0.13043478260869565,0.7608695652173914,0.15217391304347827,1.065217391304348,0,0,0,0,0,4,2,2,4,2,0,0,1,1,2,0,1,0,1,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,1.123661024399317,1.1610674682071278
PRV51014,4.0,70.0,12.0,12.0,1742.3333333333333,5990,52270,649.3333333333334,1730,19480,30,0.233,1.467,0.9,1,0.267,73.5,25,1.2,10480,349.3333333333333,3300,7,4.285714285714286,6,5.0,8,3.75,0.0,2,11,6,780,83590,2786.333333333333,13000,12816,427.2,2136,0.0,0.0,0.0,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.0666666666666666,0.3,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.2,0.4,0.1,0.0333333333333333,10,3.6666666666666665,0,0.0,110,0,0.7,0.36666666666666664,1.0666666666666667,0.16666666666666666,1.3666666666666667,0,0,0,0,0,6,4,2,2,0,1,0,3,1,0,1,0,1,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.1526631431768615,1.1610674682071278
PRV51015,0.0,0.0,12.0,12.0,1445.0,2910,11560,263.75,550,2110,8,0.0,1.375,0.75,1,0.375,68.5,7,1.1428571428571428,700,87.5,200,3,2.6666666666666665,1,8.0,4,2.0,0.0,1,1,3,490,9490,1186.25,5490,2136,267.0,1068,0.0,0.0,0.0,0.5,0.875,0.5,0.375,0.5,0.875,1.0,0.875,0.375,0.375,0.125,0.0,9,3.125,0,0.0,25,0,0.75,0.0,0.75,0.25,1.375,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.0736482268957674,1.1610674682071278
PRV51016,0.0,0.0,12.0,12.0,878.3333333333334,3370,5270,295.0,650,1770,6,0.5,1.333,0.833,1,0.167,73.5,6,1.0,170,28.33333333333333,90,3,2.0,1,6.0,0,-99.0,0.0,1,1,3,620,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.1666666666666666,0.0,9,3.5,0,0.0,21,0,0.5,0.16666666666666666,1.0,0.6666666666666666,1.1666666666666667,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1.042417581414712,1.1610674682071278
